yearID,date,starters,finishers,totalDNF,finish.male,finish.female,finish.percent,first.timers,beast.finishers,pre.screen
Y1,12/13/2003,71,44,27,31,13,62,44,NA,N
Y2,12/11/2004,86,59,27,48,11,68.6,41,NA,N
Y3,12/10/2005,80,53,27,44,9,66.3,30,NA,N
Y4,12/9/2006,95,58,37,51,7,61.1,31,NA,N
Y5,12/8/2007,105,82,23,71,11,78.1,41,NA,N
Y6,12/13/2008,99,76,23,64,12,76.8,32,18,N
Y7,12/12/2009,116,89,27,71,18,76.7,30,24,N
Y8,12/11/2010,126,111,15,96,15,88.1,59,21,N
Y9,12/10/2011,137,112,25,95,17,81.8,56,29,Y
Y10,12/8/2012,139,116,23,96,20,83.5,51,23,Y
Y11,12/14/2013,132,110,22,87,23,83.3,44,29,Y
Y12,12/13/2014,148,122,26,99,23,82.4,48,38,Y
