year,personID,name,gender,HL.50K,T.MTN,PL.50K,GS.100,MMTR,Hellgate,Total.Beast.Time
2014,P3000,AJ Johnson ,M,7:07:16,6:40:42,7:27:50,29:57:23,10:50:44,16:46:18,78:50:13
2014,P1013,Alexis Thomas ,F,6:03:21,5:29:44,6:05:59,28:29:08,9:50:23,14:23:28,70:22:03
2014,P1030,Austin Burling ,M,6:33:31,5:35:14,5:59:04,25:28:17,10:27:03,15:42:51,69:46:00
2014,P1032,Barry Lass ,M,6:15:43,6:50:24,7:44:24,23:36:32,9:03:33,13:31:20,67:01:56
2014,P1041,Bob Jasinski ,M,6:15:19,5:36:37,6:07:34,25:28:58,10:30:03,14:56:48,68:55:19
2014,P1050,Brian Dibeler ,M,6:09:43,5:30:16,6:07:34,24:18:04,9:41:12,14:20:03,66:06:52
2014,P1070,Chelsie Viar ,F,6:47:42,6:01:53,6:39:35,35:14:46,10:43:21,16:12:07,81:39:24
2014,P3009,Cherry Grassi,F,8:32:13,7:58:27,8:22:59,35:50:39,11:46:35,17:39:18,90:10:11
2014,P3010,Clifton Williams ,M,5:55:41,5:44:11,6:39:25,29:55:24,10:57:06,16:29:44,75:41:31
2014,P3011,Dan Rogers ,M,5:43:13,5:26:45,5:56:48,25:27:18,9:52:24,14:55:54,67:22:22
2014,P1085,Dan Spearin ,M,5:50:44,4:59:26,5:34:35,25:22:04,9:05:41,14:24:04,65:16:34
2014,P1089,Danny Mowers ,M,5:57:39,5:02:10,5:38:49,26:35:16,10:50:25,14:08:50,68:13:09
2014,P1094,David Allara ,M,5:47:34,5:11:14,5:30:05,24:39:19,9:21:54,13:26:06,63:56:12
2014,P1099,David Krekeler ,M,6:09:00,6:13:15,6:44:48,31:24:28,10:16:21,15:14:08,76:02:00
2014,P2007,David Weigert ,M,6:15:57,6:11:38,7:12:03,27:13:12,11:29:20,16:20:45,74:42:55
2014,P2024,Drew Fratrick ,M,6:58:28,6:36:45,7:31:42,32:08:04,11:02:53,15:50:09,80:08:01
2014,P3020,Erik Price ,M,6:09:40,6:00:22,6:40:31,33:31:11,10:00:53,15:24:58,77:47:35
2014,P2096,Jim Ashworth ,M,6:57:56,6:14:19,7:05:30,28:49:17,11:32:43,16:18:07,76:57:52
2014,P2098,Jim Daniels ,M,6:48:29,6:12:21,6:40:51,24:37:36,10:30:51,15:26:27,70:16:35
2014,P3027,John Leonardis ,M,6:38:24,5:57:35,6:34:44,25:32:29,11:03:55,16:19:46,72:06:53
2014,P2116,John Robinson ,M,5:43:11,5:16:20,5:45:00,23:09:48,9:26:50,14:06:52,63:28:01
2014,P3029,Jonathan Lok ,M,7:04:41,6:28:08,7:07:29,32:52:53,11:22:57,16:34:06,81:30:14
